+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Experiment              | Created      | reports\metrics_catboost.json:R2 | reports\metrics_catboost.json:MSE | reports\metrics_catboost.json:MAPE | reports\metrics_catboost.json:EV | reports\metrics_xgboost.json:R2 | reports\metrics_xgboost.json:MSE | reports\metrics_xgboost.json:MAPE | reports\metrics_xgboost.json:EV | train.test_size | train.iterations | train.loss_function | train.learning_rate | train.ctr_leaf_count_limit | train.max_depth | train.booster | train.eta | train.tree_method | train.random_state |
| \u251c\u2500\u2500 d9017fd [exp-26a58] | 12:31 AM     |                          0.91213 |                        6.2571e+08 |                           0.093208 |                          0.91266 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 4               | dart          | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 686ac05 [exp-d39ce] | 12:30 AM     |                          0.85893 |                        1.1343e+09 |                            0.10026 |                          0.86192 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 1               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 770e952 [exp-03401] | 12:29 AM     |                           0.8866 |                        8.0749e+08 |                            0.10959 |                          0.88661 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 1               | gbtree        | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 6ea92c5 [exp-93aaa] | 12:28 AM     |                          0.85893 |                        1.1343e+09 |                            0.10026 |                          0.86192 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 1               | gbtree        | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 39fd17e [exp-8a3cb] | 12:28 AM     |                           0.8866 |                        8.0749e+08 |                            0.10959 |                          0.88661 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 1               | gbtree        | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 a3eef68 [exp-4eb71] | 12:27 AM     |                          0.85893 |                        1.1343e+09 |                            0.10026 |                          0.86192 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 1               | dart          | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 b6c55c2 [exp-492a3] | 12:26 AM     |                           0.8866 |                        8.0749e+08 |                            0.10959 |                          0.88661 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 1               | dart          | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 dbe0ac2 [exp-e4668] | 12:26 AM     |                          0.85893 |                        1.1343e+09 |                            0.10026 |                          0.86192 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 1               | dart          | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 2f529e1 [exp-e75ca] | 12:25 AM     |                           0.8866 |                        8.0749e+08 |                            0.10959 |                          0.88661 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.05                | 5                          | 1               | dart          | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 b87a46a [exp-0aa02] | 12:24 AM     |                          0.90736 |                        7.4491e+08 |                           0.092068 |                           0.9082 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 4               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 5bf5601 [exp-023dc] | 12:23 AM     |                          0.91379 |                        6.1387e+08 |                           0.093931 |                          0.91418 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 4               | gbtree        | 0.1       | exact             | 1                  |
